AllYrs,CountInds,Sort,SapPlot,corner,PlotID,Northing,Easting,BroaderGroup,Genus,Species,Group,Duration,Taxa4Analysis,Cover2007,Cover2008,Cover2009,Cover2010,Cover2011,Cover2012,Cover2013,Cover2014,Cover2015,Cover2016,Cover2018,Ind2007,Ind2008,Ind2009,Ind2010,Ind2011,Ind2012,Ind2013,Ind2014,Ind2015,Ind2016,Ind2018,Buds2007,Buds2008,Buds2009,Buds2010,Buds2011,Buds2012,Buds2013,Buds2014,Buds2015,Buds2016,Buds2018,Flrs2007,Flrs2008,Flrs2009,Flrs2010,Flrs2011,Flrs2012,Flrs2013,Flrs2014,Flrs2015,Flrs2016,Flrs2018,Frts2007,Frts2008,Frts2009,Frts2010,Frts2011,Frts2012,Frts2013,Frts2014,Frts2015,Frts2016,Frts2018,Densiometer2009,Densiometer2010,Densiometer2011,Densiometer2012,Densiometer2013,Densiometer2014,Densiometer2015,Densiometer2016,Densiometer2018,ResearcherID2007,ResearcherID2008,ResearcherID2009,ResearcherID2010,ResearcherID2011,ResearcherID2012,ResearcherID2013,ResearcherID2014,ResearcherID2015,ResearcherID2016,ResearcherID2018,Day2007,Day2008,Day2009,Day2010,Day2011,Day2012,Day2013,Day2014,Day2015,Day2016,Day2018,Comments2007,Comments2008,Comments2009,Comments2010,Comments2011,Comments2012,Comments2013,Comments2014,Comments2015,Comments2016,Comments2018
y,y,11,1,NE,1NE,29.2,29.2,fern,Cysopteris,sp,,,Cysopteris_sp,0,0.5,0.5,0,0,1,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,0,0,-99,-99,0,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,12,1,NE,1NE,29.2,29.2,herb_dicot,Dicentra,eximia,dicot,perennial,Dicentra_eximia,999,1,1,2,1,0,2,14,3,3,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,0,0,-99,0,0,0,0,0,0,0,0,1,0,-99,0,0,0,0,0,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,NOT exima,,,,
y,y,13,1,NE,1NE,29.2,29.2,fern,Dryopteris,intermedia,fern,perennial,Dryopteris_intermedia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,14,1,NE,1NE,29.2,29.2,fern,Dryopteris,marginalis,fern,perennial,Dryopteris_marginalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,15,1,NE,1NE,29.2,29.2,herb_dicot,Erythronium,americanum,monocot ,perennial,Erythronium_americanum,999,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,16,1,NE,1NE,29.2,29.2,herb_dicot,Galium,bigleaves,,,Galium_bigleaves,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,17,1,NE,1NE,29.2,29.2,herb_dicot,Galium,triflorum,dicot,perennial,Galium_triflorum,999,2,0.5,0.5,0.5,3,1,0.5,0.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,18,1,NE,1NE,29.2,29.2,herb_dicot,Geranium,maculatum,,,Geranium_maculatum,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,19,1,NE,1NE,29.2,29.2,herb_monocot,Goodyeara,pubescens,,,Goodyeara_pubescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,20,1,NE,1NE,29.2,29.2,herb_dicot,Houstonia,sp,,,Houstonia_sp,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,21,1,NE,1NE,29.2,29.2,herb_dicot,Hydrophyllum,sp,,,Hydrophyllum_sp,0,0,0,0,0.5,0,0,2,5,13,1,0,0,0,0,NA,0,0,2,5,3,NA,-99,-99,-99,-99,0,-99,-99,0,0,0,0,-99,-99,-99,-99,0,-99,-99,0,0,0,0,-99,-99,-99,-99,0,-99,-99,0,0,0,0,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,22,1,NE,1NE,29.2,29.2,herb_dicot,Impatiens,sp,,,Impatiens_sp,0,0,1,0,0,5,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,0,-99,-99,0,-99,-99,0,0,0,-99,-99,0,-99,-99,0,-99,-99,0,0,0,-99,-99,0,-99,-99,0,-99,-99,0,0,0,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,23,1,NE,1NE,29.2,29.2,herb_dicot,Laportia,canadensis,,,Laportia_canadensis,0,0,0.5,1,0.5,3,0.5,0.5,2,0.5,0.5,0,0,NA,NA,NA,NA,10,1,4,2,1,-99,-99,0,0,0,0,0,0,0,0,0,-99,-99,0,0,0,0,0,0,0,0,0,-99,-99,0,0,0,0,0,0,0,0,0,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,very small seedlings,,,,
y,n,24,1,NE,1NE,29.2,29.2,herb_dicot,Mitella,diphylla,dicot,perennial,Mitella_diphylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,25,1,NE,1NE,29.2,29.2,herb_dicot,Osmorhiza,longistylis,dicot,perennial,Osmorhiza_longistylis,0,1,2,2,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,0,0,1,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,0,-99,-99,-99,-99,-99,-99,0,0,0,0,0,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,26,1,NE,1NE,29.2,29.2,herb_dicot,Phacelia,bipinnatifida,dicot,biennial,Phacelia_bipinnatifida,0,0.5,0,0.5,15,0,5,0,0,0.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,0,-99,0,0,-99,0,-99,-99,0,0,-99,1,-99,0,1,-99,1,-99,-99,0,1,-99,0,-99,0,1,-99,0,-99,-99,0,0,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,27,1,NE,1NE,29.2,29.2,herb_dicot,Podophyllum,peltatum,dicot,perennial,Podophyllum_peltatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,28,1,NE,1NE,29.2,29.2,herb_monocot,Polygonatum,biflorum,monocot ,perennial,Polygonatum_biflorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,29,1,NE,1NE,29.2,29.2,fern,Polystichum,acrostichoides,fern,perennial,Polystichum_acrostichoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,y,30,1,NE,1NE,29.2,29.2,herb_monocot,Prosartes,lanuginosa,monocot ,perennial,Prosartes_lanuginosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,31,1,NE,1NE,29.2,29.2,herb_dicot,Sanicula,sp,,,Sanicula_sp,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
y,n,32,1,NE,1NE,29.2,29.2,herb_dicot,Sedum,ternatum,,,Sedum_ternatum,0,0,0,0.5,0,1,0.5,2,3,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-99,-99,-99,0,-99,0,0,0,0,0,-99,-99,-99,-99,0,-99,0,0,0,0,0,-99,-99,-99,-99,0,-99,0,0,0,0,0,-99,4.875,3.375,4.25,2.75,NA,3.5,4.5,3,8.5,KGD_ET,KGD,EAT_BeckyS,KGD,EAT,EAT,"KD (herb plots), ET (densiometer)",EW,KGD,EAT,EAT,NA,26-Apr-08,26-Apr-09,NA,19-Apr-11,15-Apr-12,23-Apr-13,15-Apr-14,22-Apr-15,24-Apr-16,20-Apr-18,,,,,,,,,,,
